month,day,year,group,location,id,uid_4826,substem,y,x,species,dbh_cm,crown_condition,trunk_damage,comments,problems
September,21,2021,KJCL,SMU campus,1,1,,,,AMLA,5.7,G,N,"3.4, 3.8, 3.2, 3.9, 4.2",
September,21,2021,KJCL,SMU campus,2,2,,,,RHTY,4.9,G,N,,
September,21,2021,KJCL,SMU campus,3,3,,,,TICO,16.4,G,N,,
September,21,2021,KJCL,SMU campus,4,4,,,,TICO,10.7,G,N,,
September,21,2021,KJCL,SMU campus,5,5,,,,AMLA,4.7,F,N,"4.4, 4.1, 3.1; species unknown ",
September,21,2021,KJCL,SMU campus,6,6,,,,Malus sp.,6.4,G,N,,
September,21,2021,KJCL,SMU campus,7,7,,,,Malus sp.,6.1,P,N,dead/dying,
September,21,2021,KJCL,SMU campus,8,8,,,,MA spp.,10,G,Y,,
September,21,2021,KJCL,SMU campus,9,9,,,,QURU,37.1,G,N,,
September,21,2021,KJCL,SMU campus,11,11,,,,QURU,51.1,G,N,bird box #37,
September,21,2021,KJCL,SMU campus,12,12,,,,TICO,10.1,G,Y,,
September,21,2021,KJCL,SMU campus,13,13,,,,ACRU,6.8,F,Y,,
September,21,2021,KJCL,SMU campus,14,14,,,,QURU,29.2,G,N,,
September,21,2021,KJCL,SMU campus,15,15,,,,BEPA,8.3,G,Y,,
September,21,2021,KJCL,SMU campus,16,16,,,,ACRU,7.9,F,N,,
September,21,2021,KJCL,SMU campus,18,18,,,,ACRU,6.8,F,N,insect damage,
September,21,2021,KJCL,SMU campus,19,19,,,,TICO,18.3,G,N,,
September,21,2021,KJCL,SMU campus,20,20,,,,SOAU,4.6,G,Y,"4.5, 3.9, 3.5",
September,21,2021,KJCL,SMU campus,21,21,,,,SOAU,15.2,F,Y,"9.5, 7.4, 9.0, 4.9",
September,21,2021,KJCL,SMU campus,22,22,,,,QURU,37.7,G,N,,
September,21,2021,KJCL,SMU campus,23,23,,,,QURU,44.8,G,Y,bird box #4,
September,21,2021,KJCL,SMU campus,24,24,,,,TICO,16.4,G,N,,
September,21,2021,KJCL,SMU campus,26,26,,,,TICO,27,F,Y,galls and insect damage,
September,21,2021,KJCL,SMU campus,27,27,,,,TICO,25,G,N,galls and insect damage; 22.7,
September,21,2021,KJCL,SMU campus,29,29,,,,MA spp.,18,G,N,,
September,21,2021,KJCL,SMU campus,30,30,,,,PIMU,38.1,G,N,,
September,21,2021,KJCL,SMU campus,32,32,,,,PIMU,14.4,G,N,,
September,21,2021,KJCL,SMU campus,33,33,,,,BEPA,22.3,F,N,20.2,
September,21,2021,KJCL,SMU campus,34,34,,,,ACRU,64.1,F,Y,"lumps on trunk , trimmed canopy",
September,21,2021,KJCL,SMU campus,38,38,,,,,27.2,G,N,linden?,
September,21,2021,KJCL,SMU campus,39,39,,,,PIMU,29.6,G,N,,
September,21,2021,KJCL,SMU campus,40,40,,,,FASY,46,F,Y,insect damage,
September,21,2021,KJCL,SMU campus,44,44,,,,PIRE,35.3,G,N,,
September,21,2021,KJCL,SMU campus,46,46,,,,PISY,33.2,G,N,vines up trunk,
September,21,2021,KJCL,SMU campus,47,47,,,,BENI,46,G,Y,nest box #11,
September,21,2021,KJCL,SMU campus,48,48,,,,BEPA,13.2,G,N,"10.5, 4.1",
September,21,2021,KJCL,SMU campus,49,49,,,,PINI,36.9,G,N,,
September,21,2021,KJCL,SMU campus,50,50,,,,PINI,33.7,F,N,,
September,21,2021,KJCL,SMU campus,51,51,,,,TSCA,21.7,F,N,hose? coming out,
September,21,2021,KJCL,SMU campus,52,52,,,,BEPA,33,G,Y,,
September,21,2021,KJCL,SMU campus,53,53,,,,PIST,51.1,G,N,,
September,21,2021,KJCL,SMU campus,54,54,,,,PIST,53.9,G,N,,
September,21,2021,KJCL,SMU campus,55,55,,,,PIST,53.6,G,N,,
September,21,2021,KJCL,SMU campus,56,56,,,,QURU,57.2,G,N,,
September,21,2021,KJCL,SMU campus,58,58,,,,TICO,31.6,G,N,galls,
September,21,2021,KJCL,SMU campus,59,59,,,,PINI,6.8,F,N,"3.4, 3.3, 3.1, 3.1",
September,21,2021,KJCL,SMU campus,60,60,,,,,29.7,G,N,"6.3, 16.4, 18,7",
September,21,2021,KJCL,SMU campus,61,61,,,,PINI,39.9,G,N,,Series of points in front of McNally are off-set/not overlayed properly
September,21,2021,KJCL,SMU campus,62,62,,,,STPS,8.9,G,N,5.7,Series of points in front of McNally are off-set/not overlayed properly
September,21,2021,KJCL,SMU campus,63,63,,,,ACRU,13.1,G,N,,Series of points in front of McNally are off-set/not overlayed properly
September,21,2021,MEGY,SMU campus,64,64,,,,PYCA,11.2,G,N,,
September,21,2021,MEGY,SMU campus,65,65,,,,,30.5,G,N,,
September,21,2021,MEGY,SMU campus,66,66,,,,,58.6,F,N,,
September,21,2021,MEGY,SMU campus,67,67,,,,,9.1,G,N,8.9,
September,21,2021,MEGY,SMU campus,71,71,,,,,42.8,G,N,,
September,14,2021,MEGY,SMU campus,72,72,,,,,90,G,N,Diseased leaves,
September,14,2021,MEGY,SMU campus,73,73,,,,,40.4,G,N,Diseased leaves ,
September,14,2021,MEGY,SMU campus,74,74,,,,,58.8,G,N,Diseased leaves ,
September,14,2021,MEGY,SMU campus,75,75,,,,SYJA,,G,N,DBH: under 2,
September,6,2021,KJCL,SMU campus,75,75,,,,STJA,7.13,G,N,"DBH: 6.93, 6.23, 5.5, 4.36, 5.4",
September,6,2021,KJCL,SMU campus,76,76,,,,BEUT,<8,G,N,"tethering present, newly planted",
September,14,2021,MEGY,SMU campus,77,77,,,,,9.7,G,N,"DBH: 8.3, 8.8",
September,14,2021,MEGY,SMU campus,78,78,,,,,8.7,G,N,"DBH: 5.8, 6.5",
September,14,2021,MEGY,SMU campus,80,80,,,,,44.5,G,N,,
September,6,2021,KJCL,SMU campus,81,81,,,,SYRE,6.71,F,N,"DBH: 4.67, 6.07",
September,14,2021,MEGY,SMU campus,82,82,,,,,19,G,N,,
September,14,2021,MEGY,SMU campus,85,85,,,,,29.8,G,N,,
September,14,2021,MEGY,SMU campus,87,87,,,,,16.6,G,N,,
September,6,2021,KJCL,SMU campus,89,89,,,,PYCH,4.169,G,N,,
September,6,2021,MAER,SMU campus,90,90,,,,,13.2,G,Y,,
September,21,2021,MEGY,SMU campus,92,92,,,,,28.3,G,N,,
September,21,2021,MEGY,SMU campus,93,93,,,,BEPA,46.5,G,Y,,
September,21,2021,MEGY,SMU campus,94,94,,,,,20.5,G,N,,
September,21,2021,MEGY,SMU campus,97,97,,,,,14.8,G,N,,
September,21,2021,MEGY,SMU campus,98,98,,,,,47.2,G,N,,
September,21,2021,MEGY,SMU campus,99,99,,,,,8.7,G,N,tethered,
September,21,2021,MEGY,SMU campus,102,102,,,,,6,G,N,,
September,21,2021,MEGY,SMU campus,103,103,,,,,31.3,P,N,,
September,21,2021,MEGY,SMU campus,104,104,,,,,25.9,G,Y,,
September,21,2021,MEGY,SMU campus,105,105,,,,,59.9,F,Y,,
September,6,2021,MEGY,SMU campus,106,106,,,,,34.5,G,N,,
September,21,2021,MEGY,SMU campus,108,108,,,,,35.3,G,N,,
September,21,2021,MEGY,SMU campus,109,109,,,,ULMI,55,P,N,,
September,21,2021,MEGY,SMU campus,110,110,,,,ULMI,14,G,N,,
September,21,2021,MEGY,SMU campus,111,111,,,,,47,P,N,52.3,
September,21,2021,MEGY,SMU campus,112,112,,,,,66,G,Y,11.0; species wrong in database,
September,21,2021,MEGY,SMU campus,113,113,,,,ACPL,44.8,G,N,37.5,
September,21,2021,MEGY,SMU campus,114,114,,,,pine sp.,18.8,F,N,"5.3, 14.1; ants on trunk; species wrong in database",
September,21,2021,MEGY,SMU campus,115,115,,,,JUSP,24.1,G,N,5.8; species wrong in database,star next to this one
September,21,2021,MEGY,SMU campus,116,116,,,,JUSP,23.5,G,N,6.6; species wrong in database,
